"year","league","division","team","wins","games","runs","runs_allowed","attendance"
2009,"NL","East","PHI",93,162,820,709,3600693
2009,"NL","Central","PIT",62,161,636,768,1577853
2009,"NL","West","SDN",75,162,638,769,1919603
2009,"AL","West","SEA",85,162,640,692,2195533
2009,"NL","West","SFN",88,162,657,611,2862110
2009,"NL","Central","SLN",91,162,730,640,3343252
2009,"AL","East","TBA",84,162,803,754,1874962
2009,"AL","West","TEX",87,162,784,740,2156016
2009,"AL","East","TOR",75,162,798,771,1876129
2009,"NL","East","WAS",59,162,710,874,1817226
2010,"NL","West","ARI",65,162,713,836,2056941
2010,"NL","East","ATL",91,162,738,629,2510119
2010,"AL","East","BAL",66,162,613,785,1733018
2010,"AL","East","BOS",89,162,818,744,3046443
2010,"AL","Central","CHA",88,162,752,704,2194378
2010,"NL","Central","CHN",75,162,685,767,3062973
2010,"NL","Central","CIN",91,162,790,685,2060550
2010,"AL","Central","CLE",69,162,646,752,1394812
2010,"NL","West","COL",83,162,770,717,2875245
2010,"AL","Central","DET",81,162,751,743,2461237
2010,"NL","East","FLO",80,162,719,717,1535226
2010,"NL","Central","HOU",76,0,611,729,2331490
2010,"AL","Central","KCA",67,162,676,845,1615324
2010,"AL","West","LAA",80,162,681,702,3250816
2010,"NL","West","LAN",80,162,667,692,3562320
2010,"NL","Central","MIL",77,162,750,804,2776531
2010,"AL","Central","MIN",94,162,781,671,3223640
2010,"AL","East","NYA",95,162,859,693,3765807
2010,"NL","East","NYN",79,162,656,652,2559738
2010,"AL","West","OAK",81,162,663,626,1418391
2010,"NL","East","PHI",97,162,772,640,3647249
2010,"NL","Central","PIT",57,162,587,866,1613399
2010,"NL","West","SDN",90,162,665,581,2131774
2010,"AL","West","SEA",61,162,513,698,2085488
2010,"NL","West","SFN",92,162,697,583,3037443
2010,"NL","Central","SLN",86,162,736,641,3301218
2010,"AL","East","TBA",96,162,802,649,1843445
2010,"AL","West","TEX",90,162,787,687,2505171
2010,"AL","East","TOR",85,162,755,728,1625555
2010,"NL","East","WAS",69,162,655,742,1828066
2011,"NL","West","ARI",94,162,731,662,2105432
2011,"NL","East","ATL",89,162,641,605,2372940
2011,"AL","East","BAL",69,162,708,860,1755461
2011,"AL","East","BOS",90,162,875,737,3054001
2011,"AL","Central","CHA",79,162,654,706,2001117
2011,"NL","Central","CHN",71,162,654,756,3017966
2011,"NL","Central","CIN",79,162,735,720,2213588
2011,"AL","Central","CLE",80,162,704,760,1840835
2011,"NL","West","COL",73,162,735,774,2909777
2011,"AL","Central","DET",95,162,787,711,2642045
2011,"NL","East","FLO",72,162,625,702,1477462
2011,"NL","Central","HOU",56,162,615,796,2067016
2011,"AL","Central","KCA",71,162,730,762,1724450
2011,"AL","West","LAA",86,162,667,633,3166321
2011,"NL","West","LAN",82,161,644,612,2935139
2011,"NL","Central","MIL",96,162,721,638,3071373
2011,"AL","Central","MIN",63,162,619,804,3168116
2011,"AL","East","NYA",97,162,867,657,3653680
2011,"NL","East","NYN",77,162,718,742,2352596
2011,"AL","West","OAK",74,162,645,679,1476791
2011,"NL","East","PHI",102,162,713,529,3680718
2011,"NL","Central","PIT",72,162,610,712,1940429
2011,"NL","West","SDN",71,162,593,611,2143018
2011,"AL","West","SEA",67,162,556,675,1939421
2011,"NL","West","SFN",86,162,570,578,3387303
2011,"NL","Central","SLN",90,162,762,692,3093954
2011,"AL","East","TBA",91,162,707,614,1529188
2011,"AL","West","TEX",96,162,855,677,2946949
2011,"AL","East","TOR",81,162,743,761,1818103
2011,"NL","East","WAS",80,161,624,643,1940478
2012,"NL","West","ARI",81,162,734,688,2177617
2012,"NL","East","ATL",94,162,700,600,2420171
2012,"AL","East","BAL",93,162,712,705,2102240
2012,"AL","East","BOS",69,162,734,806,3043003
2012,"AL","Central","CHA",85,162,748,676,1965955
2012,"NL","Central","CHN",61,162,613,759,2882756
2012,"NL","Central","CIN",97,162,669,588,2347251
2012,"AL","Central","CLE",68,162,667,845,1603596
2012,"NL","West","COL",64,162,758,890,2630458
2012,"AL","Central","DET",88,162,726,670,3028033
2012,"NL","Central","HOU",55,162,583,794,1607733
2012,"AL","Central","KCA",72,162,NA,746,1739859
2012,"AL","West","LAA",89,162,767,699,3061770
2012,"NL","West","LAN",86,162,637,597,3324246
2012,"NL","East","MIA",69,162,609,724,2219444
2012,"NL","Central","MIL",83,162,776,733,2831385
2012,"AL","Central","MIN",66,162,701,832,2776354
2012,"AL","East","NYA",95,162,804,668,3542406
2012,"NL","East","NYN",74,162,650,709,2242803
2012,"AL","West","OAK",94,162,713,614,1679013
2012,"NL","East","PHI",81,162,684,680,3565718
2012,"NL","Central","PIT",79,162,651,674,2091918
2012,"NL","West","SDN",76,162,651,710,2123721
2012,"AL","West","SEA",75,162,619,651,1721920
2012,"NL","West","SFN",94,162,718,649,3377371
2012,"NL","Central","SLN",88,162,765,648,3262109
2012,"AL","East","TBA",90,162,697,577,1559681
2012,"AL","West","TEX",93,162,808,707,3460280
2012,"AL","East","TOR",73,162,716,784,2099663
2012,"NL","East","WAS",98,162,731,594,2370794
2013,"NL","West","ARI",81,162,685,695,2134795
2013,"NL","East","ATL",96,162,688,548,2548679
2013,"AL","East","BAL",85,162,745,709,2357561
2013,"AL","East","BOS",97,162,853,656,2833333
2013,"AL","Central","CHA",63,162,598,723,1768413
2013,"NL","Central","CHN",66,162,602,689,2642682
2013,"NL","Central","CIN",90,162,698,589,2534369
2013,"AL","Central","CLE",92,162,745,662,1572926
2013,"NL","West","COL",74,162,706,760,2793828
2013,"AL","Central","DET",93,162,796,624,3083397
2013,"AL","West","HOU",51,162,610,848,1651883
2013,"AL","Central","KCA",86,162,648,601,1750754
2013,"AL","West","LAA",78,162,733,737,3019505
2013,"NL","West","LAN",92,162,NA,582,3743527
2013,"NL","East","MIA",62,162,513,646,1586322
2013,"NL","Central","MIL",74,162,640,687,2531105
2013,"AL","Central","MIN",66,162,614,788,2477644
2013,NA,"East","NYA",85,162,650,671,3279589
2013,"NL","East","NYN",74,162,619,684,2135657
2013,"AL","West","OAK",96,162,767,625,1809302
2013,"NL","East","PHI",73,162,610,749,3012403
2013,"NL","Central","PIT",94,162,634,577,2256862
2013,"NL","West","SDN",76,162,618,700,2166691
2013,"AL","West","SEA",71,162,624,754,1761546
2013,"NL","West","SFN",76,162,629,691,3326796
2013,"NL","Central","SLN",97,162,783,596,3369769
2013,"AL","East","TBA",92,163,700,646,1510300
2013,"AL","West","TEX",91,163,730,636,3178273
2013,"AL","East","TOR",74,162,712,756,2536562
2013,"NL","East","WAS",86,162,656,626,2652422
2014,"NL","West","ARI",64,162,615,742,2073730
2014,"NL","East","ATL",79,162,573,597,2354305
2014,"AL","East","BAL",96,162,705,593,2464473
2014,"AL","East","BOS",71,0,634,715,2956089
2014,"AL","Central","CHA",73,162,660,758,1650821
2014,"NL","Central","CHN",73,162,614,707,2652113
2014,"NL","Central","CIN",76,162,595,612,2476664
2014,"AL","Central","CLE",85,162,669,653,1437393
2014,"NL","West","COL",66,162,755,818,2680329
2014,"AL","Central","DET",90,162,757,705,2917209
2014,"AL","West","HOU",70,162,629,723,1751829
2014,"AL","Central","KCA",89,162,651,624,1956482
2014,"AL","West","LAA",98,162,773,630,3095935
2014,"NL","West","LAN",94,162,718,617,3782337
2014,"NL","East","MIA",77,162,645,674,1732283
2014,"NL","Central","MIL",82,162,650,657,2797384
2014,"AL","Central","MIN",70,162,715,777,2250606
2014,"AL","East","NYA",84,162,633,664,3401624
2014,"NL","East","NYN",79,162,629,618,2148808
2014,"AL","West","OAK",88,162,729,572,2003628
2014,"NL","East","PHI",73,162,619,687,2423852
2014,"NL","Central","PIT",88,162,682,631,2442564
2014,"NL","West","SDN",77,162,535,577,2195373
2014,"AL","West","SEA",87,162,634,554,2064334
2014,"NL","West","SFN",88,162,665,614,3368697
2014,"NL","Central","SLN",90,162,619,603,3540649
2014,"AL","East","TBA",77,162,612,625,1446464
2014,"AL","West","TEX",67,162,637,773,2718733
2014,"AL","East","TOR",83,162,723,686,2375525
2014,"NL","East","WAS",96,162,686,555,2579389
2015,"NL","West","ARI",79,162,720,713,2080145
2015,"NL","East","ATL",67,162,573,760,2001392
2015,"AL","East","BAL",81,162,713,693,2281202
2015,"AL","East","BOS",78,162,748,753,2880694
2015,"AL","Central","CHA",76,162,622,701,1755810
2015,"NL","Central","CHN",97,162,689,608,2919122
2015,"NL","Central","CIN",64,162,640,754,2419506
2015,"AL","Central","CLE",81,161,669,640,1388905
2015,"NL","West","COL",68,162,737,844,2506789
2015,"AL","Central","DET",74,161,689,803,2726048
2015,"AL","West","HOU",86,162,729,618,2153585
2015,"AL","Central","KCA",95,162,724,641,2708549
2015,"AL","West","LAA",85,162,661,675,3012765
2015,"NL","West","LAN",92,162,667,595,3764815
2015,"NL","East","MIA",71,162,613,678,1752235
2015,"NL","Central","MIL",68,162,655,737,2542558
